filename,label,query,bbc_id,description,n_samples,duration_ms,sample_rate,rms_db,status
swimming_splash.wav,swimming_splash,swimming pool splash,07021101,Splash in swimming pool.,9600,200,48000,-20.0,OK
diving_splash.wav,diving_splash,diving into water,NHU05103123,Adult diving into water,9600,200,48000,-20.0,OK
rowing_oars.wav,rowing_oars,rowing boat oars,07038329,"Fitting oars in boat, rowing with feathe",9600,200,48000,-20.0,OK
sailing_rigging.wav,sailing_rigging,sailing boat rigging,07047155,Gale through boat rigging.,9600,200,48000,-20.0,OK
skateboard_roll.wav,skateboard_roll,skateboard rolling,07074079,Rolling gold into sheets.,9600,200,48000,-20.0,OK
skipping_rope.wav,skipping_rope,skipping rope,07073007,Skipping,9600,200,48000,-20.0,OK
trampoline.wav,trampoline,trampoline bouncing,—,—,9600,200,48000,,FAILED
archery_arrow.wav,archery_arrow,arrow archery bow,07037397,"Archery, bow twang.",9600,200,48000,-20.0,OK
darts_thud.wav,darts_thud,dart hitting dartboard,07037401,"Archery, bow twangs & arrows hitting tar",9600,200,48000,-20.0,OK
fishing_reel.wav,fishing_reel,fishing reel winding,NHU05039055,Casting with a fly-fishing rod. Gulls in,9600,200,48000,-20.0,OK
keyboard_type.wav,keyboard_type,computer keyboard typing,07042077,"Computer, typing text.",9600,200,48000,-20.0,OK
mouse_click_comp.wav,mouse_click_comp,computer mouse clicking,07036129,Toy Mouse squeaker.,9600,200,48000,-20.0,OK
printer.wav,printer,printer printing,07042080,Amstrad Dot-Matrix Printer printing.,9600,200,48000,-20.0,OK
paper_shredder.wav,paper_shredder,paper shredder,07049068,"Ammunition Factory, paper cartridge mach",9600,200,48000,-20.0,OK
stapler.wav,stapler,stapler stapling,—,—,9600,200,48000,,FAILED
hole_punch.wav,hole_punch,hole punch paper,07071090,"Electronic punch, 1966.",9600,200,48000,-20.0,OK
filing_cabinet.wav,filing_cabinet,filing cabinet drawer,07011067,A metal cabinet opened and closed.,9600,200,48000,-20.0,OK
phone_dial.wav,phone_dial,telephone dialing,07022422,American Telephone: Push button dialing ,9600,200,48000,-20.0,OK
phone_busy.wav,phone_busy,telephone busy tone,07040133,"Telephone dial tone, 4 figures dialled, ",9600,200,48000,-20.0,OK
fax_machine.wav,fax_machine,fax machine transmitting,07070029,Fax machine (Pitney Bowes 8000) - receiv,9600,200,48000,-20.0,OK
cash_register.wav,cash_register,cash register,07040187,"Cash Register opened, keyboard operated,",9600,200,48000,-20.0,OK
coins_drop.wav,coins_drop,coins dropping,07048048,Dropping anchor without speech (reproces,9600,200,48000,-20.0,OK
coins_jingle.wav,coins_jingle,coins jingling,07012090,Harness jingling. (No animal sounds),9600,200,48000,-20.0,OK
banknote_count.wav,banknote_count,banknotes counting,07028105,Wrestling: Audience counting out,9600,200,48000,-20.0,OK
stamp_ink.wav,stamp_ink,rubber stamp inking,07049016,"Tyre factory, mixing raw rubber.",9600,200,48000,-20.0,OK
pen_writing.wav,pen_writing,pen writing paper,07023325,"Cash Register, Electronic: Light-pen sca",9600,200,48000,-20.0,OK
pencil_writing.wav,pencil_writing,pencil writing,—,—,9600,200,48000,,FAILED
eraser_rub.wav,eraser_rub,eraser rubbing paper,NHU05012168,Large pancake ice in sludge rubbing agai,9600,200,48000,-20.0,OK
book_page_turn.wav,book_page_turn,book page turning,07039353,Horse turning & trotting.,9600,200,48000,-20.0,OK
book_close.wav,book_close,book closing heavy,07051202,"16 month old baby boy, looking at a book",9600,200,48000,-20.0,OK
gate_creak.wav,gate_creak,gate creaking metal,07037356,Metal Gate opened & closed.,9600,200,48000,-20.0,OK
gate_slam.wav,gate_slam,gate slamming metal,07037625,Iron gate opened & closed.,9600,200,48000,-20.0,OK
padlock.wav,padlock,padlock clicking,NHU05085330,Nestlings hissing and bill-clicking.,9600,200,48000,-20.0,OK
bolt_slide.wav,bolt_slide,bolt sliding metal,07011074,A large sliding bolt drawn shut several ,9600,200,48000,-20.0,OK
latch_click.wav,latch_click,latch clicking,07011091,Wooden barn doors. Heavy latch.,9600,200,48000,-20.0,OK
hinge_creak.wav,hinge_creak,hinge creaking,NHU05097233,Creaking of turning wheel on pump.,9600,200,48000,-20.0,OK
shutter_roll.wav,shutter_roll,roller shutter opening,07055175,interior - manual sunroof shutter closed,9600,200,48000,-20.0,OK
garage_door.wav,garage_door,garage door opening,07037547,Garage doors opening.,9600,200,48000,-20.0,OK
lift_door.wav,lift_door,lift elevator door,07054168,Opening & closing lift cage door.,9600,200,48000,-20.0,OK
revolving_door.wav,revolving_door,revolving door,07011103,Continuous sound of a revolving door.,9600,200,48000,-20.0,OK
cat_flap.wav,cat_flap,cat flap swinging,07054056,Swinging metal sign with squeaks (89C),9600,200,48000,-20.0,OK
letterbox.wav,letterbox,letterbox flap,07011078,Several newspapers pushed through letter,9600,200,48000,-20.0,OK
safe_lock.wav,safe_lock,safe combination lock,07019169,"Wheel-Lock Gun, single shot fired. (Manu",9600,200,48000,-20.0,OK
handcuffs.wav,handcuffs,handcuffs clicking,NHU05018118,"Cu wingbeats, md-cu hard clicking calls ",9600,200,48000,-20.0,OK
manhole_cover.wav,manhole_cover,manhole cover lifting,07005020,"Hunting horn call, drawing the cover. (Q",9600,200,48000,-20.0,OK
tree_fall.wav,tree_fall,tree falling crashing,07058031,Tree falling.,9600,200,48000,-20.0,OK
branch_snap.wav,branch_snap,branch snapping,NHU05002129,Branch falling & single fart.,9600,200,48000,-20.0,OK
leaves_rustle.wav,leaves_rustle,leaves rustling wind,NHU05065122,"Calls CU, with palm leaves rustling.",9600,200,48000,-20.0,OK
leaves_crunch.wav,leaves_crunch,leaves crunching underfoot,NHU05011183,Mcu sounds of eating leaves. Sounds of c,9600,200,48000,-20.0,OK
bamboo_creak.wav,bamboo_creak,bamboo creaking,NHU05087145,With creaking bamboo,9600,200,48000,-20.0,OK
grass_swish.wav,grass_swish,grass swishing,NHU05078178,Tail swishing,9600,200,48000,-20.0,OK
corn_field.wav,corn_field,corn field rustling,NHU05009020,Sound of wind in corn. Cicadas stridulat,9600,200,48000,-20.0,OK
flower_meadow.wav,flower_meadow,meadow wildflower bees,NHU05042113,Mountain-side. Meadow pipits call. MD me,9600,200,48000,-20.0,OK
pine_forest.wav,pine_forest,pine forest wind,NHU05070109,"Wind in pines, several birds calling, wi",9600,200,48000,-20.0,OK
palm_tree.wav,palm_tree,palm tree fronds wind,NHU05073111,"Wind through fronds of 'fan' palm, dwarf",9600,200,48000,-20.0,OK
earthquake.wav,earthquake,earthquake rumbling,NHU05014010,Cu sounds of bubbling mud. Continuous ru,9600,200,48000,-20.0,OK
